CreatedDate,ProfileNo,OrganizationIdentificationID,Department Name,OrganizationActivityText,ReportingOfficerIdentificationID,InterventionIdentificationID,IdentificationCategoryDescriptionText,InterventionDate,Month,SubjectRaceCode,SubjectEthnicityCode,SubjectSexCode,SubjectAge,ResidentIndicator,TownRecidentIndicator,InterventionLocationName,InterventionLocationDescriptionText,InterventionLocationLatitude,InterventionLocationLongitude,InterventionReasonCode,InterventionTechniqueCode,InterventionDurationCode,TowedIndicator,StatuteCodeIdentificationID,ReasonForStop,StatutatoryCitation,VehicleSearchedIndicator,SearchAuthorizationCode,ContrabandIndicator,CustodialArrestIndicator,InterventionDispositionCode,InterventionDispositionDate,InterventionDispositionReasonText,IsStatuteCodeValid,IsStatutatoryCitationValid,IsaTest,RecordCount,SourceId,SourceReferenceId,InterventionDateTime,InterventionTime
1/20/22 17:12,5891759.0,CT0008300,Middletown,Racial Profile,10,2100035586,Incident ID,"Sunday, August 8, 2021",August,B,N,M,16,True,True,MIDDLETOWN,Main St,  ,  ,V,G,2,True,14-299,Traffic Control Signal,,False,N,False,False,W,,,,,False,1,CT0008300,132871903603019379,8/8/21 23:48,11:48:44 PM
1/20/22 17:17,5891787.0,CT0008300,Middletown,Racial Profile,10,2100040024,Incident ID,"Sunday, September 5, 2021",September,W,H,F,43,True,False,MIDDLETOWN,Main ST. @ Union ST.,  ,  ,V,G,1,False,14-236,Moving Violation,,False,N,False,False,W,,,,,False,1,CT0008300,132871906622477685,9/5/21 16:44,4:44:10 PM
1/20/22 17:17,5891788.0,CT0008300,Middletown,Racial Profile,10,2100043450,Incident ID,"Friday, September 24, 2021",September,B,N,M,28,True,True,MIDDLETOWN,S main St,  ,  ,V,G,2,False,14-236,Moving Violation,21a-279(a)(1),True,O,True,True,U,,,,,False,1,CT0008300,132871906622477685,9/24/21 22:50,10:50:34 PM
1/20/22 17:22,5891892.0,CT0008300,Middletown,Racial Profile,10,2100047440,Incident ID,"Sunday, October 17, 2021",October,B,N,M,21,True,True,MIDDLETOWN,Saybrook Rd @ Coe Ave,  ,  ,V,G,1,False,14-301,Stop Sign,,False,N,False,False,V,,,,,False,1,CT0008300,132871909645798248,10/17/21 22:58,10:58:00 PM
1/20/22 17:22,5891893.0,CT0008300,Middletown,Racial Profile,10,2100048432,Incident ID,"Friday, October 22, 2021",October,W,N,M,56,True,False,MIDDLETOWN,South Main ST. @ Randolph RD.,  ,  ,V,G,2,True,14-236,Moving Violation,,False,N,False,True,V,,,,,False,1,CT0008300,132871909645798248,10/22/21 20:25,8:25:07 PM
1/20/22 16:57,5891704.0,CT0008300,Middletown,Racial Profile,1000191,2100019013,Incident ID,"Sunday, May 2, 2021",May,B,N,M,19,True,False,MIDDLETOWN,BERNIE O'ROURKE,  ,  ,E,G,1,False,14-18(c),Display of Plates,,False,N,False,False,V,,,,,False,1,CT0008300,132871894552405005,5/2/21 14:56,2:56:41 PM
1/20/22 17:12,5891777.0,CT0008300,Middletown,Racial Profile,1000191,2100035117,Incident ID,"Thursday, August 5, 2021",August,B,N,M,37,True,False,MIDDLETOWN,RIVER RD,  ,  ,E,G,1,False,14-80h,Equipment Violation,14-80h,False,N,False,False,V,,,,,False,1,CT0008300,132871903603019379,8/5/21 17:43,5:43:36 PM
1/20/22 17:17,5891823.0,CT0008300,Middletown,Racial Profile,1000191,2100042574,Incident ID,"Monday, September 20, 2021",September,W,N,M,48,True,True,MIDDLETOWN,440 west st,  ,  ,V,G,1,False,14-301,Stop Sign,,False,N,False,False,V,,,,,False,1,CT0008300,132871906622477685,9/20/21 6:36,6:36:12 AM
1/20/22 17:17,5891824.0,CT0008300,Middletown,Racial Profile,1000191,2100042575,Incident ID,"Monday, September 20, 2021",September,W,N,M,17,True,False,MIDDLETOWN,440 WEST ST,  ,  ,V,G,1,False,14-301,Stop Sign,14-301,False,N,False,False,V,,,,,False,1,CT0008300,132871906622477685,9/20/21 6:45,6:45:33 AM
1/20/22 17:22,5892160.0,CT0008300,Middletown,Racial Profile,1000191,2100045650,Incident ID,"Friday, October 8, 2021",October,W,N,M,23,True,False,MIDDLETOWN,512 WASHINGTON ST,  ,  ,I,G,1,False,14-301,Stop Sign,14-301,False,N,False,False,V,,,,,False,1,CT0008300,132871909645798248,10/8/21 6:45,6:45:06 AM
1/20/22 17:22,5892161.0,CT0008300,Middletown,Racial Profile,1000191,2100048268,Incident ID,"Friday, October 22, 2021",October,W,H,M,57,True,False,MIDDLETOWN,30 MIDDLEFIELD ST,  ,  ,I,G,1,True,14-213b,Administrative Offense,14-213b,False,N,False,False,M,,,,,False,1,CT0008300,132871909645798248,10/22/21 2:53,2:53:45 AM
1/20/22 17:22,5892162.0,CT0008300,Middletown,Racial Profile,1000191,2100048290,Incident ID,"Friday, October 22, 2021",October,W,N,F,35,True,True,MIDDLETOWN,RIDGEWOOD RD./MILE LN,  ,  ,V,G,1,False,14-301,Stop Sign,14-301,False,N,False,False,V,,,,,False,1,CT0008300,132871909645798248,10/22/21 7:12,7:12:17 AM
1/20/22 17:22,5892163.0,CT0008300,Middletown,Racial Profile,1000191,2100048298,Incident ID,"Friday, October 22, 2021",October,B,M,F,27,True,True,MIDDLETOWN,RIDGEWOOD RD./MILE LN,  ,  ,V,G,1,False,14-301,Stop Sign,14-301,False,N,False,False,V,,,,,False,1,CT0008300,132871909645798248,10/22/21 7:39,7:39:11 AM
